episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration
780,20.0,-0.17510760249622845,-6.149593159089882,-13.14732362303173,-10.0,2.6666666666666665,1,3.799589722104156,False,True,3.889235199838988,6,48.06927451701628,3884.821,in_progress,0.0
780,21.0,-0.003198564422041583,-6.200208591200003,-15.143727938473273,-3.333333333333335,1.3333333333333333,6,0.001,False,True,4.259714441173046,7,48.06927451701628,3884.901,in_progress,0.0
780,22.0,0.14615573615151467,-6.259033540313449,-18.636200636645853,-6.666666666666668,4.0,5,1.9406483124967762,False,True,4.585204922996818,7,48.06927451701628,3884.968,in_progress,0.0
780,23.0,0.3189424205821274,-6.34182032183285,-23.096484502040763,0.0,4.0,11,1.938223049635557,False,True,4.970978832374438,8,48.06927451701628,3885.034,in_progress,0.0
780,24.0,0.475345164220046,-6.438994183308601,-29.23251636084175,10.0,4.0,20,1.7776293422572045,False,True,5.332223603294626,8,48.06927451701628,3885.101,in_progress,0.0
780,25.0,0.6428335439073118,-6.542309545202071,-32.58926713343563,10.0,1.3333333333333333,18,0.001,False,True,5.724184470553432,9,48.06927451701628,3885.168,in_progress,0.0
780,26.0,0.8218510155571951,-6.639202037630595,-31.472147974660494,-3.333333333333335,4.0,8,1.4314603178804994,False,True,6.1335279487194,10,48.06927451701628,3885.223,in_progress,0.0
780,27.0,0.9945585878117256,-6.729770379678425,-29.083045517891907,3.333333333333332,4.0,14,0.001,False,True,6.5345324736263155,10,48.06927451701628,3885.299,in_progress,0.0
780,28.0,1.1893449436071388,-6.842104559013518,-29.674702724664606,0.0,4.0,11,0.001,False,True,6.962630220617179,11,48.06927451701628,3885.366,in_progress,0.0
780,29.0,1.3606841948251096,-6.944541453810032,-30.557144114060605,-10.0,1.3333333333333333,0,0.001,False,True,7.356309105803042,12,48.06927451701628,3885.43,in_progress,0.0
780,30.0,1.5552689325412796,-7.074053024667696,-33.07998586807034,3.333333333333332,1.3333333333333333,12,0.001,False,True,7.66198145617982,12,48.06927451701628,3885.504,in_progress,0.0
780,31.0,1.7100003659144432,-7.188991785911461,-35.28928659726186,-3.333333333333335,2.6666666666666665,7,0.001,False,False,7.996527026814328,13,48.06927451701628,3885.571,in_progress,0.0
780,32.0,1.864062271959321,-7.3107572366426234,-37.2777218136281,3.333333333333332,2.6666666666666665,13,0.001,False,False,8.177389544115522,13,48.06927451701628,3885.622,in_progress,0.0
780,33.0,1.9980170827193986,-7.4196145143518235,-38.31341589635301,-3.333333333333335,4.0,8,0.001,True,False,8.418512006507765,13,48.06927451701628,3885.698,off_track,0.0
781,1.0,0.47036467987281383,-6.370447410829202,-11.081431903413003,0.0,2.6666666666666665,10,0.0,False,True,0.2914925389817996,8,48.06927451701628,3885.827,prepare,0.0
781,2.0,0.47022918036608397,-6.3703495719213175,-11.035811560159113,3.333333333333332,2.6666666666666665,13,3.7348374304016847,False,True,0.291173533847941,8,48.06927451701628,3885.893,in_progress,0.0
781,3.0,0.47949743010622864,-6.372380399037257,-11.187708382306884,10.0,1.3333333333333333,18,0.001,False,True,0.3109119914357965,8,48.06927451701628,3885.961,in_progress,0.0
781,4.0,0.5023264735918649,-6.3763640455943,-11.036190944851551,0.0,2.6666666666666665,10,3.546743892963697,False,True,0.359075801211331,9,48.06927451701628,3886.034,in_progress,0.0
781,5.0,0.5409386050746681,-6.382968466084259,-10.882645546909645,3.333333333333332,2.6666666666666665,13,3.539341612327269,False,True,0.44047858775294463,9,48.06927451701628,3886.09,in_progress,0.0
781,6.0,0.5985190360389911,-6.396786238517217,-11.557526332685086,10.0,2.6666666666666665,19,3.520879229057983,False,True,0.5636431170361701,9,48.06927451701628,3886.17,in_progress,0.0
781,7.0,0.6570374832561368,-6.408723700040707,-11.564521588402116,3.333333333333332,1.3333333333333333,12,0.001,False,True,0.6876276757500986,9,48.06927451701628,3886.232,in_progress,0.0
781,8.0,0.7391856845618435,-6.424162878033832,-11.215039560511153,10.0,2.6666666666666665,19,3.4788668390677646,False,True,0.8612860633973047,9,48.06927451701628,3886.301,in_progress,0.0
781,9.0,0.8222210989114986,-6.4404195546017755,-11.238933357548486,6.666666666666668,4.0,17,1.8040307404959823,False,True,1.037137989149077,10,48.06927451701628,3886.37,in_progress,0.0
781,10.0,0.9372841901181367,-6.456838760667237,-9.983394838489936,-6.666666666666668,1.3333333333333333,3,1.7916573782238623,False,True,1.2778332448206364,10,48.06927451701628,3886.436,in_progress,0.0
781,11.0,1.0409100617958915,-6.477549032124241,-10.247685806334584,6.666666666666668,2.6666666666666665,16,3.2074539310777537,False,True,1.4965047501781015,10,48.06927451701628,3886.493,in_progress,0.0
781,12.0,1.1510409141029807,-6.502345154150829,-11.213467908053001,6.666666666666668,4.0,17,1.683119276899576,False,True,1.731231256211746,11,48.06927451701628,3886.568,in_progress,0.0
781,13.0,1.2841525966975995,-6.521874244144271,-9.872937947769604,-10.0,2.6666666666666665,1,2.958117837226398,False,True,2.013305832779898,11,48.06927451701628,3886.632,in_progress,0.0
781,14.0,1.401645011151108,-6.548950833869366,-11.291346170074068,10.0,1.3333333333333333,18,1.6968437340194917,False,True,2.2641184513622403,12,48.06927451701628,3886.697,in_progress,0.0
781,15.0,1.534217222400314,-6.584766625568182,-13.716056301033001,10.0,4.0,20,1.4767450184096638,False,True,2.562319836559808,12,48.06927451701628,3886.77,in_progress,0.0
781,16.0,1.676021574955949,-6.611817110574915,-12.17010012007059,6.666666666666668,1.3333333333333333,15,1.569757472789996,False,True,2.8599663973038094,12,48.06927451701628,3886.833,in_progress,0.0
781,17.0,1.827753629508681,-6.624628516998307,-8.064903420678055,3.333333333333332,2.6666666666666665,13,2.461507727767918,False,True,3.1804075590880942,13,48.06927451701628,3886.883,in_progress,0.0
781,18.0,1.9527760574175423,-6.631313297962786,-5.829968920693198,10.0,4.0,20,1.2665878007131282,False,True,3.4388944101528054,13,48.06927451701628,3886.968,in_progress,0.0
781,19.0,2.0848082037032065,-6.630538554437679,-2.7687153159513542,6.666666666666668,1.3333333333333333,15,1.425593898418933,False,True,3.7130096630244442,14,48.06927451701628,3887.035,in_progress,0.0
781,20.0,2.228933805481315,-6.619948039830237,1.503439913513515,6.666666666666668,2.6666666666666665,16,2.2642469574370443,False,True,4.010250158834294,14,48.06927451701628,3887.098,in_progress,0.0
781,21.0,2.380206236141757,-6.60248310432728,4.264642587519005,10.0,1.3333333333333333,18,1.3343853793669787,False,True,4.326291833186905,15,48.06927451701628,3887.17,in_progress,0.0
781,22.0,2.5413815689861554,-6.568110373540051,8.569394708323086,3.333333333333332,1.3333333333333333,12,1.3001122277777848,False,True,4.660176724718995,15,48.06927451701628,3887.234,in_progress,0.0
781,23.0,2.63566422903607,-6.54085575159498,11.501293601195515,10.0,1.3333333333333333,18,1.287342826381068,False,True,4.864253007525804,16,48.06927451701628,3887.288,in_progress,0.0
781,24.0,2.7513215967741456,-6.500011536339827,15.192374569707056,10.0,2.6666666666666665,19,2.163480435861131,False,True,5.108020457200448,16,48.06927451701628,3887.37,in_progress,0.0
781,25.0,2.8726740997240046,-6.447256888282799,19.147023133481863,3.333333333333332,2.6666666666666665,13,2.1587907036758995,False,True,5.383147872061997,17,48.06927451701628,3887.432,in_progress,0.0
781,26.0,2.997212165197538,-6.382917711030011,23.163416715636973,0.0,4.0,11,1.0810973974075246,False,True,5.6745927072738525,17,48.06927451701628,3887.503,in_progress,0.0
781,27.0,3.120047114053602,-6.315324669705438,25.924027567874948,10.0,1.3333333333333333,18,1.293826092834123,False,True,5.953679538776573,17,48.06927451701628,3887.566,in_progress,0.0
781,28.0,3.2592642917842194,-6.220809832396053,30.979860017512348,6.666666666666668,1.3333333333333333,15,1.3220079915700336,False,True,6.303677154337525,18,48.06927451701628,3887.622,in_progress,0.0
781,29.0,3.350826334465409,-6.144972063733832,34.94328561288922,6.666666666666668,2.6666666666666665,16,2.2287268504670363,False,True,6.539519611382978,18,48.06927451701628,3887.703,in_progress,0.0
781,30.0,3.449566408562993,-6.051982316024275,38.96498616445975,0.0,4.0,11,1.18029880195275,False,True,6.821147067858075,19,48.06927451701628,3887.76,in_progress,0.0
781,31.0,3.55344378689056,-5.938810223192787,43.611533632781445,-3.333333333333335,2.6666666666666665,7,2.3276139331555,False,True,7.135260870943839,19,48.06927451701628,3887.83,in_progress,0.0
781,32.0,3.6649352989690964,-5.811898310784215,46.46963697628067,10.0,2.6666666666666665,19,2.3834905585607684,False,True,7.485021192392062,20,48.06927451701628,3887.9,in_progress,0.0
781,33.0,3.7727986406572684,-5.68648454347933,48.07320526120907,3.333333333333332,1.3333333333333333,12,1.544724345506838,False,True,7.827868048561847,20,48.06927451701628,3887.97,in_progress,0.0
781,34.0,3.867847624471354,-5.557356000791069,51.18473580253297,-6.666666666666668,4.0,5,1.3882431446027996,False,True,8.1581685653539,21,48.06927451701628,3888.035,in_progress,0.0
781,35.0,3.9652043806616755,-5.4133321554230776,54.161511018182274,-10.0,1.3333333333333333,0,1.6285722236087672,False,True,8.520794662740636,21,48.06927451701628,3888.087,in_progress,0.0
781,36.0,4.06006389922258,-5.29267753684761,53.289837569342325,10.0,4.0,20,1.4570336318787165,False,True,8.846583923502731,22,48.06927451701628,3888.168,in_progress,0.0
781,37.0,4.1628072081772665,-5.168077954195544,51.94592602278549,-6.666666666666668,2.6666666666666665,4,2.7169641463572267,False,True,9.182365001179047,23,48.06927451701628,3888.229,in_progress,0.0
781,38.0,4.2818571302415185,-5.019632285035285,51.310044774873894,3.333333333333332,1.3333333333333333,12,1.5257903857272295,False,True,9.579370404818178,23,48.06927451701628,3888.306,in_progress,0.0
781,39.0,4.386055674443867,-4.894293307863507,50.6355513594983,3.333333333333332,1.3333333333333333,12,1.4231130434188184,False,True,9.918035379059596,24,48.06927451701628,3888.359,in_progress,0.0
781,40.0,4.471817777730128,-4.77275553476332,52.80162502461887,10.0,4.0,20,1.3696012041690735,False,True,10.229650543676357,24,48.06927451701628,3888.426,in_progress,0.0
781,41.0,4.554683448951807,-4.638047885640625,55.845541055301794,-6.666666666666668,2.6666666666666665,4,2.9228562676121577,False,True,10.557936086264137,25,48.06927451701628,3888.488,in_progress,0.0
