episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration
920,1.0,-1.8984563800637728,-5.964763695498703,-8.779989589803225,-6.666666666666668,2.6666666666666665,4,0.0,False,True,0.2915117808512231,0,48.06927451701628,5010.228,prepare,0.0
920,2.0,-1.89857421368032,-5.964690639760739,-8.77375031288481,0.0,4.0,11,3.9668570685619438,False,True,0.29124633439275405,0,48.06927451701628,5010.303,in_progress,0.0
920,3.0,-1.8937775836901931,-5.965841873692453,-8.85264957245333,0.0,1.3333333333333333,9,0.001,False,True,0.3014734553185586,0,48.06927451701628,5010.365,in_progress,0.0
920,4.0,-1.871047912888013,-5.969954740005517,-9.062161637523628,-6.666666666666668,1.3333333333333333,3,0.001,False,True,0.34951047043337125,1,48.06927451701628,5010.427,in_progress,0.0
920,5.0,-1.8327292155070884,-5.977263561586836,-9.423008505379107,-3.333333333333335,4.0,8,3.9708935526153226,False,True,0.4306124704929937,1,48.06927451701628,5010.492,in_progress,0.0
920,6.0,-1.775541842780074,-5.987642932247412,-9.704132272361925,0.0,1.3333333333333333,9,0.001,False,True,0.5514825791936363,1,48.06927451701628,5010.564,in_progress,0.0
920,7.0,-1.7058593728849822,-5.996925777393729,-9.230459490510581,0.0,1.3333333333333333,9,0.001,False,True,0.6977134213856271,1,48.06927451701628,5010.629,in_progress,0.0
920,8.0,-1.6338124903590758,-6.00747231295536,-8.975357729074847,-6.666666666666668,1.3333333333333333,3,0.001,False,True,0.8491819928092406,1,48.06927451701628,5010.696,in_progress,0.0
920,9.0,-1.548285119443241,-6.019275455929489,-8.635154214063311,10.0,1.3333333333333333,18,0.001,False,True,1.0287584084355916,2,48.06927451701628,5010.763,in_progress,0.0
920,10.0,-1.4496309617848282,-6.030811639385374,-7.933148894116357,3.333333333333332,1.3333333333333333,12,0.001,False,True,1.2352205714337183,2,48.06927451701628,5010.829,in_progress,0.0
920,11.0,-1.36629627565944,-6.031727485712404,-5.66343203398742,10.0,1.3333333333333333,18,0.001,False,True,1.4065995582493114,2,48.06927451701628,5010.894,in_progress,0.0
920,12.0,-1.27758242129689,-6.023423552504405,-2.003305189086716,-3.333333333333335,2.6666666666666665,7,2.064678249715758,False,True,1.5859810589175034,3,48.06927451701628,5010.967,in_progress,0.0
