episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration
600,1.0,-1.8984626134138158,-5.964631356392879,-8.751116553910393,6.666666666666668,4.0,17,0.0,False,True,0.291456971412829,0,48.06927451701628,2664.091,prepare,0.0
600,2.0,-1.898574213680658,-5.964690639760686,-8.77375031288486,3.333333333333332,1.3333333333333333,12,0.001,False,True,0.29124633439275316,0,48.06927451701628,2664.158,in_progress,0.0
600,3.0,-1.8951220467268584,-5.965480449631189,-8.828235588759911,6.666666666666668,4.0,17,3.9673105987585227,False,True,0.2985945690465285,0,48.06927451701628,2664.206,in_progress,0.0
600,4.0,-1.8767973946734988,-5.967338394761902,-8.555862535765048,-6.666666666666668,4.0,5,3.965394899148519,False,True,0.3368593898971986,1,48.06927451701628,2664.288,in_progress,0.0
600,5.0,-1.846658633069213,-5.972260891836337,-8.79458105728923,3.333333333333332,4.0,14,3.96570098609153,False,True,0.4003863159424601,1,48.06927451701628,2664.358,in_progress,0.0
600,6.0,-1.7994823010330006,-5.981836028101964,-9.391086866784553,-10.0,2.6666666666666665,1,0.001,False,True,0.5004186491400964,1,48.06927451701628,2664.423,in_progress,0.0
600,7.0,-1.7431518796738588,-5.99634118536773,-10.661429047313625,3.333333333333332,4.0,14,3.9800387180653427,False,True,0.6208360679607392,1,48.06927451701628,2664.492,in_progress,0.0
600,8.0,-1.6727475937396705,-6.014385466539557,-11.764577683023877,-10.0,1.3333333333333333,0,0.001,False,True,0.7714267898450959,1,48.06927451701628,2664.556,in_progress,0.0
600,9.0,-1.591298452511158,-6.037181968098886,-12.853910468322967,-6.666666666666668,1.3333333333333333,3,0.001,False,True,0.946197387201815,2,48.06927451701628,2664.604,in_progress,0.0
600,10.0,-1.5052325111714184,-6.065191099590768,-14.641710567664813,-10.0,2.6666666666666665,1,0.001,False,True,1.1321491086460433,2,48.06927451701628,2664.687,in_progress,0.0
