Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
18,0.0,0.0,0.0,489.0,18.0,26.0,489.0,0.0,27.47037814574347,0.0,0.0,47.47955369949341,,,,,,,,,,,,,,,,,,,,,13.49989654188618,9.252207056606784,27.17370106408152,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.0,0.0,0.0,512.0,19.0,23.0,512.0,0.0,19.856563703465337,0.0,0.0,50.07157230377197,,,,,,,,,,,,,,,,,,,,,7.8263039857256755,6.963383345381958,19.715970937698103,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.0,0.0,0.0,558.0,20.0,46.0,558.0,0.0,75.43868051176548,0.0,0.0,54.79194402694702,,,,,,,,,,,,,,,,,,,,,35.66456914144334,24.18825730375866,74.01894718900347,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1.0,0.0,0.0,47.0,1.0,47.0,605.0,0.0,74.67159544275661,0.0,0.0,145.78663277626038,,,,,,,,,,,,,,,,,,,,,34.93082133095432,23.19789768119775,73.24837429019783,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1.0,0.0,0.0,72.0,2.0,25.0,630.0,0.0,28.93605851493757,0.0,0.0,148.74060583114624,,,,,,,,,,,,,,,,,,,,,12.707621328087253,10.781731906958257,28.731125206707745,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1.0,0.0,0.0,90.0,3.0,18.0,648.0,0.0,14.785591411813826,0.0,0.0,151.0251805782318,,,,,,,,,,,,,,,,,,,,,5.797561819590062,5.465973215408088,14.710641872163666,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1.0,0.0,0.0,108.0,4.0,18.0,666.0,0.0,15.212766205381454,0.0,0.0,153.10228180885315,,,,,,,,,,,,,,,,,,,,,5.784471731403133,5.808744275700514,15.138908392091997,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1.0,0.0,0.0,131.0,5.0,23.0,689.0,0.0,28.736869408983264,0.0,0.0,155.76248002052307,,,,,,,,,,,,,,,,,,,,,12.803602835464352,11.245107377911879,28.526883641568254,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1.0,0.0,0.0,147.0,6.0,16.0,705.0,0.0,15.036152282507,0.0,0.0,157.83799242973328,,,,,,,,,,,,,,,,,,,,,6.1794710031212805,5.509672820649381,14.967200179616118,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1.0,0.0,0.0,175.0,7.0,28.0,733.0,0.0,41.27687507501509,0.0,0.0,160.85014081001282,,,,,,,,,,,,,,,,,,,,,17.138927361687134,13.257129431962708,40.878701633453126,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
