episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration
520,1.0,-1.898232523469165,-5.964896985562997,-8.813733240220694,3.333333333333332,2.6666666666666665,13,0.0,False,True,0.29201432276074846,0,48.06927451701628,2253.664,prepare,0.0
520,2.0,-1.8985742136807424,-5.964690639760673,-8.77375031288491,6.666666666666668,1.3333333333333333,15,0.001,False,True,0.29124633439275305,0,48.06927451701628,2253.733,in_progress,0.0
520,3.0,-1.8923492663698591,-5.966390183790589,-8.95432584970305,6.666666666666668,4.0,17,3.968184795467372,False,True,0.30458404750759877,0,48.06927451701628,2253.803,in_progress,0.0
520,4.0,-1.8703453913830836,-5.968858376369935,-8.681044552233324,-6.666666666666668,4.0,5,3.966323735933082,False,True,0.35060694869508263,1,48.06927451701628,2253.869,in_progress,0.0
520,5.0,-1.833786937388114,-5.975149464337692,-8.757497919860093,-6.666666666666668,4.0,5,3.967287752214903,False,True,0.42776696353519705,1,48.06927451701628,2253.945,in_progress,0.0
520,6.0,-1.7812099992143358,-5.989175957056106,-10.17095185669978,6.666666666666668,1.3333333333333333,15,0.001,False,True,0.5403153776449666,1,48.06927451701628,2254.009,in_progress,0.0
520,7.0,-1.7273519640526025,-6.0008582120480405,-10.816383083487205,6.666666666666668,4.0,17,3.983766295999718,False,True,0.6548295323326996,1,48.06927451701628,2254.072,in_progress,0.0
520,8.0,-1.6382845691254688,-6.008985489998604,-8.838965317574354,-3.333333333333335,2.6666666666666665,7,0.001,False,True,0.840484839339691,1,48.06927451701628,2254.145,in_progress,0.0
520,9.0,-1.5638323168099577,-6.018755889668612,-8.445816048976067,6.666666666666668,1.3333333333333333,15,0.001,False,True,0.9966435676954264,2,48.06927451701628,2254.2,in_progress,0.0
520,10.0,-1.464815512506478,-6.028997371566569,-7.6161492473869,-10.0,1.3333333333333333,0,0.001,False,True,1.203429970934932,2,48.06927451701628,2254.272,in_progress,0.0
520,11.0,-1.374503588951486,-6.042619836257641,-7.99670877831763,6.666666666666668,4.0,17,3.957306796442122,False,True,1.3933878728565225,2,48.06927451701628,2254.339,in_progress,0.0
520,12.0,-1.2778106104918685,-6.059665076427429,-8.719986149056352,-10.0,2.6666666666666665,1,2.1318404066653938,False,True,1.5976252044731947,3,48.06927451701628,2254.393,in_progress,0.0
520,13.0,-1.157177676927573,-6.090646367462239,-11.357968952632373,-3.333333333333335,1.3333333333333333,6,0.001,False,True,1.8556763579975795,3,48.06927451701628,2254.477,in_progress,0.0
